timestamp_ms,used_main_memory,used_secondary_memory,cache_hits,cache_misses
5327976,8,0,351806,7
5327987,8,0,352764,7
5327997,8,0,353979,7
5328008,8,0,354860,7
5328019,8,0,355863,7
5328029,8,0,356882,7
5328040,8,0,357674,7
5328050,8,0,358657,7
5328060,8,0,359564,7
5328071,8,0,360613,7
5328082,8,0,361643,7
5328092,8,0,362656,7
5328103,8,0,363780,7
5328113,8,0,364788,7
5328124,8,0,365642,7
5328135,8,0,366516,7
5328146,8,0,367529,7
5328157,8,0,368798,7
5328168,8,0,369531,7
5328179,8,0,370328,7
5328189,8,0,371565,7
5328199,8,0,372709,7
5328210,8,0,374078,7
5328221,8,0,375155,7
5328231,8,0,376128,7
5328242,8,0,377325,7
5328253,8,0,378563,7
5328263,8,0,379522,7
5328274,8,0,380669,7
5328285,8,0,381375,7
5328296,8,0,382438,7
5328307,8,0,383325,7
5328317,8,0,384037,7
5328328,8,0,385003,7
5328339,8,0,386118,7
5328350,8,0,387073,7
5328360,8,0,388184,7
5328370,8,0,389017,7
5328381,8,0,390002,7
5328391,8,0,391163,7
5328402,8,0,392148,7
5328412,8,0,393182,7
5328423,8,0,394164,7
5328434,8,0,395378,7
5328444,8,0,396392,7
5328455,8,0,397435,7
5328466,8,0,397764,7
5328476,8,0,398201,7
5328487,8,0,398889,7
5328497,8,0,399650,7
5328508,8,0,400284,7
5328519,8,0,400906,7
5328529,8,0,401549,7
5328540,8,0,402386,7
5328550,8,0,403011,7
5328561,8,0,403938,7
5328572,8,0,405090,7
5328582,8,0,406046,7
5328593,8,0,406962,7
5328604,8,0,408053,7
5328615,8,0,409248,7
5328625,8,0,410274,7
5328636,8,0,411080,7
5328647,8,0,412165,7
5328657,8,0,413343,7
5328668,8,0,414531,7
5328679,8,0,415521,7
5328689,8,0,416330,7
5328700,8,0,417303,7
5328710,8,0,418482,7
5328721,8,0,419552,7
5328732,8,0,420253,7
5328743,8,0,421205,7
5328753,8,0,422336,7
5328764,8,0,423416,7
5328775,8,0,424620,7
5328785,8,0,425619,7
5328795,8,0,426794,7
5328806,8,0,427806,7
5328816,8,0,428769,7
5328827,8,0,429665,7
5328838,8,0,430723,7
5328848,8,0,431514,7
5328858,8,0,432468,7
5328869,8,0,433214,7
5328879,8,0,434075,7
5328890,8,0,434953,7
5328900,8,0,435831,7
5328910,8,0,436599,7
5328921,8,0,437380,7
